Cgla4	Cniv4	Ndel4	Cbra4	Nbac4	Lklu4	Spar4	Scer4
YKR031C	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
YKR050W	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YKR076W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YLL052C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YLL053C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YLR136C	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YLR149C	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YLR178C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YLR201C	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YLR205C	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YLR267W	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YLR307W	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
YLR312C	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YLR327C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YLR346C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YLR410W	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YLR427W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YML047C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YML054C	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YML100W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YML107C	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YML123C	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
YML128C	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
YMR090W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YMR107W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YMR165C	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YMR169C	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YMR175W	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
YMR175W-A	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
