Cgla4	Cniv4	Ndel4	Cbra4	Nbac4	Lklu4	Spar4	Scer4
YDR005C	0.994399302680995	0.642927750158648	0.54048546528044	0.292265433442137	0.152791459627577	0.138750034812382	1.15079137493544	1.36935110277921
YDR017C	0.180410239018661	0.313285287682635	0.102326101831458	0.0902106088539689	0.00892903089054542	0.315647665345024	1.31982315481606	1.58063874371185
YDR055W	2.07810806806646	2.05856627478821	1.7479447277129	2.04869058326272	0.987191934469125	0.48410577148038	-0.0568759114717032	-0.0520228136918437
YDR070C	3.27340826503807	2.00201381522008	0.743994388099479	0.127363478399086	0.240352339016514	-0.178161936442013	-0.095934264075682	-0.129543636814343
YDR089W	1.79870055883178	1.4240340855197	1.32471152033743	0.993939227502366	0.667784899798701	1.05298482366252	0.864504460842743	1.10155634218834
YDR119W-A	2.88757013217589	1.73263968310578	1.62458018577037	-0.460396328489952	0.812251973330183	-0.60790589135016	-0.604886244254137	-0.519694022064563
YDR169C	1.58888067488587	1.02681934853042	1.02908422211077	0.583371334030955	0.459134463976101	0.259585633905727	0.282744432645384	0.485962233087903
YDR216W	2.01191190436431	0.872935305532013	0.507564020944196	0.364925790609557	0.710054639969353	-0.106204681165925	0.331057403916605	0.505140544821858
YDR247W	1.95323079618888	1.60822120417458	0.989236092043908	0.0733131925985937	0.516307491822526	0.295342794373838	0.839071774946168	1.23621354259831
YDR281C	8.80975768169822	10.0019572980822	9.47495770578015	9.68352478604911	8.72874802235424	8.16480546297755	8.71757723825233	9.0462641327004
YDR342C	1.85610757896983	1.24669258683243	0.767588174633162	-0.172155776492558	0.594376144429418	-0.82232297466987	-1.00523170170411	-1.22871648581213
YDR343C	5.28994115530296	4.46720422700008	3.25327325516981	1.5344447124002	2.79963971129163	1.26674801593645	2.21526697714125	0.948026177456651
YDR446W	4.56303422546817	3.211137208622	2.0195211059757	1.94991768495887	1.17915572316837	1.92105732382949	1.27338413295154	1.29961163043523
YDR453C	1.89898402747344	1.13032747459828	0.275080538541986	0.298880041858494	0.405759465897662	0.282545012881741	0.168486079216097	0.223078706786128
YDR461W	3.60080814005482	4.15423613476697	3.60645928533916	3.72196133365845	2.69762809728694	0.337754199647307	-0.133306655818686	-0.0133671351148985
YDR481C	2.72805878562493	2.66247850139839	2.69965509394093	1.92269354302341	2.18281955148855	1.72434906140473	1.62719875890221	1.93991233355977
YDR536W	4.98234840857093	2.45126222536192	1.39292068103362	0.570808188342047	0.158554181912951	0.580642041272746	0.676466520507397	1.52804799999874
YEL011W	2.06424532205009	1.4560864330666	0.994698470268766	-0.343777656484431	0.618114015331001	-0.311555581345685	-0.323514091603143	0.221493938227209
YER018C	1.97214090031562	1.40795691756534	1.02287076697101	0.809629406429796	0.577915728349639	0.272576244519397	0.224966520381708	0.061633979069958
YER037W	2.65636804590522	2.65204358339032	2.5203174130039	1.65183838686976	1.46036377023126	1.5011765641984	1.9027124560057	2.25810712496526
YER054C	2.05710674833694	1.25765153248092	0.798191535627934	0.0940658504568539	0.434885315409975	-0.0834039484569091	-0.135903194604706	-0.568963256700903
YER060W-A	3.11960152575799	2.90942222260908	2.14427776178881	1.14435417823248	0.6709570160956	0.554972783535271	0.00663000758878862	0.0324070719259071
YER062C	2.17660787589593	3.06377429826148	2.70896385857127	2.75385021929486	1.2874605291587	0.473833150108376	0.583093936787225	0.642210127961106
YER067W	2.49744887436655	2.04807484230516	1.78775346576837	0.74065442843428	1.4720511459882	0.244147928367227	-0.156168924329314	-0.155692006371999
YER072W	3.41831892801475	3.46026153922075	3.23789310675271	3.03594102662592	2.52887521826659	2.28652963155123	2.96576010585168	3.04348035747775
YER076C	2.74733643758722	2.53790273663835	1.91886113367551	1.79587738472827	0.692502472368204	0.600302711315576	0.947206177393526	1.11684677401843
YER101C	1.71076711715205	1.1607764589275	0.562534726702038	0.486917986546211	0.295245442633981	0.0840721885712332	0.114659719261124	0.186071588382213
YER103W	1.44698315301908	0.910009918630466	0.730234161202644	0.0539097096882832	1.25770502077197	0.905661112691671	1.61221341863543	1.54824884959742
YER150W	3.93675699406076	2.71004748089566	1.40542221786254	1.16447466403623	0.694458007197378	0.301263036382852	0.316232685157662	0.574181743387851
YER158C	1.90754912464978	1.67057988641352	1.36436248501109	0.934239013551266	0.59879109783821	0.435747870921883	0.308725341699165	0.363499461020911
YER186C	2.07628133728004	1.54602820729492	1.11523704672317	0.6660675857707	0.536393070289463	0.306650019174623	0.445623690236616	0.499117368482094
YFL004W	1.7860908595838	1.78454715212759	1.72467177250618	1.48577015135745	1.33052933256214	1.57011593702958	1.98119613375757	2.09765972315637
YFL011W	4.07627969135876	2.47617627313858	-0.0330132316205285	1.5752173608976	0.0469569154741611	1.4582044554449	0.988057895215997	1.77456344252391
YFL014W	2.4249104450272	1.47452473232927	0.351721231674073	0.892941381377174	-0.800058211269426	-1.20125507364811	-1.7246260250985	-1.89376612300022
YFL030W	2.53469815171451	1.36873262846458	0.485239227250365	0.0864574666054443	0.393210226312586	-0.245616097274527	-0.0722294519905216	-0.384178870961039
YFL033C	1.83305024898519	0.900457542601202	0.320476865988296	0.223846963834715	-0.000455117959000439	0.0566776218027796	0.0183261678564337	0.0131849063717153
YFR015C	2.45450143926353	2.11883890889505	1.80239593255805	-0.177554848641155	1.39716181460803	-0.268064935883933	-0.614301009812623	-0.126905932551381
