ORF,O1,O2,N1,N2,S1,S2,Q1,Q2
CAGL0G07018g,1419,943,1032,700,298,662,894,617
CAGL0G07040g,1401,942,1219,975,554,957,1280,669
CAGL0G07062g,235,206,251,267,93,141,310,196
CAGL0G07084g,670,473,585,479,271,362,606,436
CAGL0G07106g,4327,2767,2753,1582,1403,2520,2313,1681
CAGL0G07128g,905,605,677,523,238,548,788,462
CAGL0G07150r,1,1,0,0,0,0,0,0
CAGL0G07161t,226,174,252,223,101,115,204,165
CAGL0G07166t,0,0,1,0,0,0,0,0
CAGL0G07175g,163,125,185,166,75,90,145,129
CAGL0G07188g,20,8,22,22,13,9,18,10
CAGL0G07194t,0,0,0,0,0,0,0,0
CAGL0G07205g,2041,1384,1528,1268,848,1028,1627,1088
CAGL0G07227g,45800,36995,34770,25039,20755,25404,35165,25286
CAGL0G07249g,1029,1022,1169,1041,322,395,1030,759
CAGL0G07271g,8678,9676,7293,7134,3720,2693,7164,6594
CAGL0G07293g,1050,725,1117,1215,465,529,1131,714
CAGL0G07315g,539,458,748,647,352,304,707,486
CAGL0G07337g,675,583,791,806,340,314,723,450
CAGL0G07359g,2029,1313,1767,1445,586,1081,1859,1084
CAGL0G07381g,934,690,808,699,328,601,817,656
CAGL0G07403g,4151,2741,3032,2233,1295,2490,2983,1914
CAGL0G07425g,2678,1749,2835,2530,935,1250,2969,1765
CAGL0G07447g,723,549,620,437,247,468,706,467
CAGL0G07469g,5094,4277,4316,3726,1696,2093,3928,3056
CAGL0G07491g,1997,1695,1877,1837,725,827,1841,1492
CAGL0G07513g,1399,958,845,725,527,636,1023,758
CAGL0G07529g,818,781,631,485,351,442,673,572
CAGL0G07535g,3516,2834,2171,1165,1112,1826,1913,2038
CAGL0G07557g,55,29,62,32,6,20,26,20
CAGL0G07579g,1466,887,1397,1052,317,827,1467,905
CAGL0G07601g,1767,1183,2451,2783,885,1061,2300,1079
CAGL0G07623g,4080,3081,6689,6279,1479,1522,3862,2151
CAGL0G07645g,1,3,0,0,0,0,2,0
CAGL0G07667g,1783,1571,2368,1530,460,486,1576,1414
CAGL0G07689g,877,547,935,1280,476,558,1383,712
CAGL0G07711g,3758,2418,3478,3458,1424,2387,4148,2184
CAGL0G07733g,741,543,714,562,280,493,720,455
CAGL0G07755g,184,126,168,138,1,15,144,86
CAGL0G07777g,1830,1205,1615,1504,704,1221,1711,875
CAGL0G07799g,1562,977,1326,1360,695,896,1579,871
CAGL0G07821g,558,465,516,431,218,293,451,383
CAGL0G07843g,8788,6228,5864,2788,2855,5773,4367,3945
CAGL0G07865g,619,398,589,485,199,418,636,366
CAGL0G07881g,491,335,407,413,144,330,478,301
